Id;Entidad;Ultima_Actualizacion;Domicilio;Localidad;Objeto_Social;Seccionales;CP;Telefono;e_mail;Página_web;Fecha_de_fundacion;Inscripcion DGPJ;Inscripcion_DGPJ(2);Decreto;Nºde_Expediente;Registro_Municipal;Exencion;ayuda_desarrollo_social_al_31/12/2015;Bajas;Suspendidas;Contacto;Anio_de_actualización;Cierre_de_ejercicio_según_estatuto;Cuenta_con_Bienes;Actualizadas;Desactualizadas;Certificados_Retirados;Archivado
1;ASOCIACION DE FOMENTO EDILICIO MAYO Y BIBLIOTECA POPULAR ADOLFO ALSINA;01/01/2018;4 Nº 273 E/ 37 Y 38;C. URBANO NORTE;Equipamiento e Infraestructura;2;1900;424-0195;linieto2004@yahoo.com.ar;;octubre 15 de 1936;;L: 1629 / M: 2944;15505/81;;3;SI;;;;PULVERENTI DIEGO FERNANDO TEL: 482- 2269;2018;31 de marzo;X;X;;2019;
2;ASOCIACION AMIGOS DEL MUSEO ALMAFUERTE;01/01/2006;66 N° 530 E/ 5 Y 6;C. URBANO SUR;Equipamiento e Infraestructura;9;1900;427-5631;;;7 de Abril 1990;;;1011/91;;2;;;;;VILLALBA PALACIOS CARMEN TEL: 482-8465;2006;31 de diciembre;;;X;;
3;CLUB ATENEO POPULAR Y BIBLIOTECA POPULAR BERNARDINO RIVADAVIA;01/01/2016;39 Nº 215/23 E/ 115 Y 116;C. URBANO NORTE;Bibliotecas;2;1900;483-2620;;;octubre 1 de 1915;;L: 3214 / M: 7002;13791/80;;3;SI;;;;LLOMPART JORGE TEL: 489-0607 427-1386 482-4337- CUBA FELIX ?? 427-1386;2016;31 de diciembre;X;X;;2011;
4;CENTRO DE FOMENTO SOCIAL CULTURAL Y  DEPORTIVO ESTRELLA DE LA LOMA;;41 N° 1169 E/ 18 Y 19;C. URBANO OESTE;Promoción y Fomento;2;1900;;silvia_britos@hotmail.com;;;;L: 9883 / M: 43;13554/80;;4;;;;;Silvia Britos 221-4962042;;31 de julio;X;X;;;
5;CLUB UNION VECINAL DE LA PLATA;01/01/2017;70 Nº 687 E/ 8 Y 9;C. URBANO SUR;Deportes en general;9;1900;;;;marzo 6 de 1939;;L: 3086 / M: 4903;14613/81;;6;SI;;;;ALLO JUAN CARLOS 15 5252847;2017;28 de febrero;X;X;;;
6;CLUB GUTENBERG;01/01/2015;65 Nº 473 E/ 4 Y 5;C. URBANO SUR;Deportes en general;9;1900;424-1145;;;septiembre 1 de 1911;;L: 1643 / M: 2664;13554/80;;7;SI;;;;DR. FERNANDO TAU;2015-2016;30 de noviembre;X;;X;;
7;SOCIEDAD DE FOMENTO LA CUMBRE Y BIBLIOTECA POPULAR MORAL Y LUCES;01/01/2019;31 N° 86 E/ 32 Y 531;SAN CARLOS;Equipamiento e Infraestructura;11;1900;;sociedaddefomentolacumbre@gmail.com;;18 de Abril  1945;;L: 3998 / M: 4406;333/85;;8;SI;;;;GRACIELA FERNANDEZ MELGAR TEL:221-5577767/CARLOS MARTINEZ SECRETARIO;2020;31 de mayo;X;X;;2020;
8;ASOCIACION SARMIENTO;01/01/1995;5 N° 577;C. URBANO NORTE;Promoción y Fomento;2;1900;421-3474;;;septiembre 5 de 1903;;L: 1536 / M: 1855;14844/81;;11;;;;;WALTER ROCCA;1995-1996;30 de noviembre;X;;X;;ARCHIVADA
9;ASOCIACION CULTURAL Y DEPORTIVA UNIVERSAL Y BIBLIOTECA POPULAR FLORENTINO AMEGHINO;01/01/2018;25 Nº 1226/38 E/ 57 Y 58;C. URBANO SUR;Deportes en general;5;1900;451-6554 / 457-6921;;;noviembre 28 de 1941;;L: 3169 / M: 1891;14446/81;;12;SI;;;;PTE. SALVADOR FIORENZA 15 4081167;2018;31 de diciembre;X;X;;;
10;CENTRO DE FOMENTO MERIDIANO V Y BIBLIOTECA PUBLICA POPULAR ENRIQUE GONINO;01/01/2016;67 Nº 1080 E/ 16 Y 17;C. URBANO SUR;Promoción y Fomento;9;1900;451-0357;;;19 de Abril 1929;;L: 1601/ M: 201;13554/80;;13;;;;;Ruben Diaz;2016;31 de diciembre;X;X;;;
